Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000131591,C1orf159,0.12296568332512572,0.3384394521440708,0.6218056767394221,0.09667813702672715,-0.3384394521440708,0.6218056767394221
ENSG00000285812,ENSG00000285812,0.015212249483520708,0.7699441630116848,0.5663294987569625,0.008056511418893929,-0.7699441630116848,0.5663294987569621
ENSG00000223823,LINC01342,0.0278891240531213,4.178028901648761,0.00008087705374085655,0,-4.178028901648761,0.00008087705374085652
ENSG00000162571,TTLL10,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000186891,TNFRSF18,0.06718743521888314,3.8243919470340617,0.0000006278683411190567,0.0032226045675575713,-3.8243919470340617,0.0000006278683411190565
ENSG00000186827,TNFRSF4,0.10775343384160502,5.080731700293846,0.0000000000008111664169601542,0.0016113022837787856,-5.080731700293846,0.0000000000008111664169601535
ENSG00000078808,SDF4,0.41073073605505916,0.34055137075577124,0.36773342775593215,0.3238717590395359,-0.34055137075577124,0.36773342775593215
ENSG00000176022,B3GALT6,0.09887962164288461,-0.04175230623114823,1,0.1015120438780635,0.04175230623114823,1
ENSG00000184163,C1QTNF12,0.008873812198720413,0.6544669455917491,0.8366325161481668,0.004833906851336357,-0.6544669455917491,0.836632516148167
ENSG00000260179,ENSG00000260179,0.001267687456960059,0.6544669455917482,1,0,-0.6544669455917482,1
ENSG00000160087,UBE2J2,0.4335491102803402,0.12816448017988358,0.7816032044073653,0.39638036180958125,-0.12816448017988358,0.7816032044073653
ENSG00000230415,LINC01786,0.01267687456960059,0.5289360635078904,0.6753826909410443,0.008056511418893929,-0.5289360635078904,0.6753826909410443
ENSG00000162572,SCNN1D,0.006338437284800295,-0.5679254757446994,0.7500079703375339,0.009667813702672714,0.5679254757446994,0.750007970337534
ENSG00000131584,ACAP3,0.12550105823904584,-0.7240446776619809,0.030736156458260392,0.20785799460746335,0.7240446776619809,0.0307361564582604
ENSG00000169972,PUSL1,0.05070749827840236,-0.4798341461198419,0.36867997406062836,0.07089730048626657,0.4798341461198419,0.3686799740606285
ENSG00000127054,INTS11,0.31438648932609464,0.3290666587975817,0.38243383244497237,0.24975185398571179,-0.3290666587975817,0.3824338324449729
ENSG00000224051,CPTP,0.09254118435808431,1.3403583551636857,0.002231241158725683,0.03544865024313328,-1.3403583551636857,0.0022312411587256825
ENSG00000169962,TAS1R3,0.003803062370880177,1.6544669455917482,0.45527785729580433,0,-1.6544669455917482,0.4552778572958042
ENSG00000107404,DVL1,0.06972281013280325,0.5076255572624784,0.5327810589541958,0.04833906851336357,-0.5076255572624784,0.5327810589541958
ENSG00000162576,MXRA8,0.005070749827840236,1.97639504047911,0.2844910610840602,0,-1.97639504047911,0.2844910610840603
ENSG00000175756,AURKAIP1,0.5653886058041864,-0.24184175136602548,0.47438185310057157,0.6686904477681961,0.24184175136602548,0.4743818531005721
ENSG00000221978,CCNL2,0.36636167506145706,0.007827548315768595,1,0.36415431613400556,-0.007827548315768595,1
ENSG00000224870,MRPL20-AS1,0.11028880875552514,0.7563465596109626,0.06748425821644674,0.06445209135115143,-0.7563465596109626,0.06748425821644681
ENSG00000242485,MRPL20,0.727652600295074,-0.260263949930385,0.426840345962181,0.8717145355243231,0.260263949930385,0.4268403459621811
ENSG00000272455,MRPL20-DT,0.003803062370880177,0.6544669455917482,0.8180737793020408,0.0016113022837787856,-0.6544669455917482,0.8180737793020408
ENSG00000235098,ANKRD65,0.001267687456960059,-1.930495555129407,0.21550282316147865,0.008056511418893929,1.930495555129407,0.21550282316147867
ENSG00000215915,ATAD3C,0.020282999311360943,1.4200016919547256,0.1262886647430083,0.0064452091351151425,-1.4200016919547256,0.12628866474300826
ENSG00000160072,ATAD3B,0.12296568332512572,0.5687370715658648,0.17742192007312332,0.08217641647271808,-0.5687370715658648,0.17742192007312318
ENSG00000290916,ENSG00000290916,0.001267687456960059,-0.34553305440825177,1,0.0016113022837787856,0.34553305440825177,1
ENSG00000197785,ATAD3A,0.09887962164288461,0.1508927717112476,0.8619514140975466,0.08862162560783321,-0.1508927717112476,0.861951414097546
ENSG00000205090,TMEM240,0.005070749827840236,1.97639504047911,0.2844910610840602,0,-1.97639504047911,0.2844910610840603
ENSG00000160075,SSU72,0.944427155435244,0.05284052301510439,0.9915260640837372,0.9103857903350139,-0.05284052301510439,0.9915260640837374
ENSG00000215014,ENSG00000215014,0.1242333707820858,0.8575588109692607,0.03147029798428115,0.067674695918709,-0.8575588109692607,0.031470297984281186
ENSG00000228594,FNDC10,0.021550686768321003,-0.6991700090229518,0.3536364487444081,0.03544865024313328,0.6991700090229518,0.3536364487444081
ENSG00000286989,ENSG00000286989,0.003803062370880177,-1.6674611492956135,0.11666748856867999,0.01450172055400907,1.6674611492956135,0.11666748856868
