Feature,Normalized.Dispersion
ENSG00000162438,-0.2447197959474578
ENSG00000215704,0.2437226967332049
ENSG00000132906,-0.6997754946106018
ENSG00000116138,-0.537278126804442
ENSG00000272510,-0.31833088712662877
ENSG00000116771,-0.7241897266789837
ENSG00000237301,2.7767787536435566
ENSG00000197312,1.2242260406298784
ENSG00000271742,NaN
ENSG00000116786,-1.2984290960305436
ENSG00000237938,-0.8139497389312866
ENSG00000162461,-1.5627566912733402
ENSG00000162460,NaN
ENSG00000162458,-1.3768000329150032
ENSG00000233954,-1.58105264708521
ENSG00000179743,-0.7173886966047504
ENSG00000065526,0.1099064350182492
ENSG00000116809,1.3497363515934258
ENSG00000142627,-1.3802309336763714
ENSG00000142632,-1.2506322672077332
ENSG00000291077,NaN
ENSG00000288398,-1.2636134055000956
ENSG00000132881,-0.8519220389813853
ENSG00000037637,0.05704554615712266
ENSG00000055070,3.008625095852873
ENSG00000187144,-0.9035385419627773
ENSG00000157191,-2.0983694406243902
ENSG00000226029,-0.3695893336466371
ENSG00000290842,0.2697982741986545
ENSG00000261135,1.6211115493566384
ENSG00000219481,-1.090042160480269
ENSG00000291072,-0.23257037469678984
ENSG00000290849,NaN
ENSG00000058453,1.9537747467245217
ENSG00000290851,-0.3043207563729859
ENSG00000238142,-1.3908449672771157
ENSG00000272426,0.810537456497013
ENSG00000290122,-0.06722747540106801
ENSG00000226526,1.2578903430727906
ENSG00000159363,1.4503166330102413
ENSG00000117118,-1.570289284963645
ENSG00000117115,-0.45005172627162865
ENSG00000142619,NaN
ENSG00000159339,4.730071321030403
